Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8211497515968772,0.6850152905198776,0.6005361930294906,0.64,0.8621230863187967
Gradient Boosting,0.8076650106458482,0.6746575342465754,0.5281501340482574,0.5924812030075188,0.8595818625979484
XGBoost,0.7885024840312278,0.6237623762376238,0.5067024128686327,0.5591715976331361,0.8431635388739948
Random Forest,0.7970191625266146,0.6629213483146067,0.4745308310991957,0.553125,0.8347855227882038
Decision Tree,0.7154009936124911,0.4641025641025641,0.48525469168900803,0.4744429882044561,0.6429076050389724
